"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",23.5688,26.5523,26.5533,26.8016,26.8017,26.9012,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",26.9032,29.9007,29.9008,30.152,30.1522,30.2521,0,1,1,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",30.254,33.2524,33.2526,33.2527,33.2528,33.6013,0,2,2,4,1,30,40,TRUE,5,2.6313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",33.6022,36.6023,36.6023,36.8519,36.852,36.9516,0,3,3,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",36.9532,39.9522,39.9523,39.9524,39.9524,40.3025,0,4,4,0,1,7,30,TRUE,3,2.7314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,59.3537,59.3539,59.354,59.7034,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.954,56.3827,59.3534,0,0,0,48,1,40,27,NA,NA,NA,NA,NA,1,1,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,62.7031,62.7032,62.7032,63.0533,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.6586,59.7049,62.703,0,1,1,101,1,180,54,NA,NA,NA,NA,NA,1,2,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,66.0537,66.3026,66.3027,66.4033,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,63.0546,66.0534,0,2,2,36,1,28,26,NA,NA,NA,NA,NA,1,3,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,69.4029,69.403,69.403,69.7535,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.8466,66.4043,69.4027,0,3,3,53,1,40,54,NA,NA,NA,NA,NA,1,4,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,72.7539,72.754,72.754,73.1037,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.1155,69.7548,72.7538,0,4,4,5,1,7,35,NA,NA,NA,NA,NA,1,5,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,76.1039,76.104,76.104,76.4538,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3562,73.105,76.1038,0,5,5,9,1,10,29,NA,NA,NA,NA,NA,1,6,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,79.4529,79.4529,79.453,79.8039,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.8447,76.455,79.4527,0,6,6,31,1,25,29,NA,NA,NA,NA,NA,1,7,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,82.8038,82.8038,82.8038,83.1538,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.8452,79.8051,82.8037,0,7,7,67,1,60,33,NA,NA,NA,NA,NA,1,8,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,86.1536,86.1538,86.1538,86.5037,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.5611,83.1547,86.1535,0,8,8,99,1,180,39,NA,NA,NA,NA,NA,1,9,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,89.5045,89.5046,89.5046,89.8543,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.2597,86.5049,89.5044,0,9,9,44,1,30,29,NA,NA,NA,NA,NA,1,10,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,92.8537,93.1042,93.1043,93.2046,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,89.8555,92.8536,0,10,10,58,1,45,40,NA,NA,NA,NA,NA,1,11,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,96.2045,96.4546,96.4546,96.5546,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,93.2059,96.2044,0,11,11,56,1,45,31,NA,NA,NA,NA,NA,1,12,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,99.5546,99.5547,99.5547,99.9044,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.8139,96.5557,99.5544,0,12,12,83,1,95,54,NA,NA,NA,NA,NA,1,13,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,102.9045,102.9045,102.9045,103.2549,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3235,99.9057,102.9044,0,13,13,16,1,12,33,NA,NA,NA,NA,NA,1,14,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,106.2554,106.2554,106.2555,106.6048,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7796,103.2561,106.2552,0,14,14,78,1,95,31,NA,NA,NA,NA,NA,1,15,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,109.6051,109.6051,109.6051,109.9548,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.1895,106.6056,109.6051,0,15,15,63,1,50,40,NA,NA,NA,NA,NA,1,16,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,112.9554,112.9554,112.9554,113.305,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5128,109.9556,112.9551,0,16,16,43,1,30,27,NA,NA,NA,NA,NA,1,17,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,116.3056,116.3057,116.3057,116.6555,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.1896,113.3058,116.3053,0,17,17,13,1,12,26,NA,NA,NA,NA,NA,1,18,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,119.6554,119.6555,119.6555,120.0052,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5262,116.6571,119.6552,0,18,18,84,1,100,26,NA,NA,NA,NA,NA,1,19,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,123.0057,123.0057,123.0057,123.3559,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.1844,120.0061,123.0054,0,19,19,85,1,100,31,NA,NA,NA,NA,NA,1,20,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,126.3393,126.3394,126.3394,126.7058,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8196,123.3579,126.3392,0,20,20,90,1,150,31,NA,NA,NA,NA,NA,1,21,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,129.7061,129.7062,129.7062,130.0558,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.1888,126.7071,129.706,0,21,21,81,1,95,40,NA,NA,NA,NA,NA,1,22,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,133.0563,133.0563,133.0564,133.4061,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3037,130.0566,133.0561,0,22,22,60,1,50,27,NA,NA,NA,NA,NA,1,23,"likert"
"53A9DC2D0EAC495CA82F4146B137FE76",1,"01990a98-d261-7268-b7e0-497b11850645","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h02.45.832",NA,NA,136.4065,136.4065,136.4065,136.7563,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.0589,133.4073,136.4063,0,23,23,29,1,21,38,NA,NA,NA,NA,NA,1,24,"likert"
