"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",44.434,47.41,47.417,47.669,47.669,47.67,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",47.671,50.756,50.756,50.998,50.998,51.116,0,1,1,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",51.117,54.039,54.04,54.297,54.297,54.413,0,2,2,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",54.42,57.384,57.384,57.384,57.384,57.746,0,3,3,1,1,100,50,TRUE,5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",57.747,60.83,60.831,60.831,60.831,61.079,0,4,4,2,1,14,45,TRUE,5,2.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,119.331,119.473,119.473,119.591,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,116.341,119.33,0,0,0,15,1,12,31,NA,NA,NA,NA,NA,1,1,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,122.63,122.63,122.63,122.998,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.825,119.593,122.629,0,1,1,65,1,50,54,NA,NA,NA,NA,NA,1,2,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,126.01,126.254,126.254,126.377,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,123.004,126.009,0,2,2,86,1,100,38,NA,NA,NA,NA,NA,1,3,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,129.358,129.605,129.605,129.736,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,126.378,129.357,0,3,3,68,1,60,35,NA,NA,NA,NA,NA,1,4,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,132.689,132.689,132.689,133.045,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.297,129.743,132.688,0,4,4,75,1,90,40,NA,NA,NA,NA,NA,1,5,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,136.03,136.03,136.03,136.392,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.801,133.046,136.029,0,5,5,34,1,25,35,NA,NA,NA,NA,NA,1,6,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,139.352,139.352,139.352,139.719,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.361,136.399,139.351,0,6,6,104,1,200,35,NA,NA,NA,NA,NA,1,7,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,142.748,142.748,142.748,143.107,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.336,139.72,142.747,0,7,7,4,1,7,32,NA,NA,NA,NA,NA,1,8,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,146.054,146.055,146.055,146.411,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.937,143.114,146.054,0,8,8,107,1,200,54,NA,NA,NA,NA,NA,1,9,"likert"
"578A4EC0A0C948ED96A7DF35DBECE4E7",1,"01990a98-393e-713f-a661-cbf1d87b2ac5","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h44.07.415",NA,NA,149.374,149.374,149.374,149.766,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.111,146.412,149.374,0,9,9,47,1,30,38,NA,NA,NA,NA,NA,1,10,"likert"
