"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",122.8065,125.6862,125.6896,125.9345,125.9353,126.0339,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",126.0438,129.0312,129.032,129.0326,129.0328,129.3808,0,1,1,0,1,7,30,TRUE,1,1.4281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",129.3862,132.3779,132.3787,132.3792,132.3793,132.7275,0,2,2,4,1,30,40,TRUE,1,2.9647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",132.7331,135.7242,135.7253,135.7258,135.7259,136.0738,0,3,3,3,1,3,27,TRUE,5,2.7745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",136.079,139.0719,139.0724,139.0726,139.0727,139.4209,0,4,4,1,1,100,50,TRUE,5,2.2346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,237.3109,237.312,237.3125,237.6582,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9968,234.3956,237.3091,0,0,0,58,1,45,40,NA,NA,NA,NA,NA,1,1,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,240.6558,240.656,240.6561,241.0051,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1314,237.6645,240.6554,0,1,1,106,1,200,47,NA,NA,NA,NA,NA,1,2,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,244.0023,244.2509,244.2513,244.3509,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,241.0112,244.0018,0,2,2,77,1,90,54,NA,NA,NA,NA,NA,1,3,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,247.3643,247.3647,247.3648,247.7138,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.5179,244.3541,247.3638,0,3,3,60,1,50,27,NA,NA,NA,NA,NA,1,4,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,250.7019,250.702,250.7022,251.0498,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5023,247.7161,250.7015,0,4,4,23,1,14,39,NA,NA,NA,NA,NA,1,5,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,254.0595,254.0597,254.0597,254.4081,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3636,251.0539,254.059,0,5,5,31,1,25,29,NA,NA,NA,NA,NA,1,6,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,257.4047,257.4049,257.4053,257.7542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3038,254.4146,257.4044,0,6,6,86,1,100,38,NA,NA,NA,NA,NA,1,7,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,260.7507,260.7509,260.751,261.1,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2815,257.7581,260.7504,0,7,7,85,1,100,31,NA,NA,NA,NA,NA,1,8,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,264.1149,264.1153,264.1154,264.4638,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.745,261.1031,264.1144,0,8,8,13,1,12,26,NA,NA,NA,NA,NA,1,9,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,267.4623,267.4628,267.4629,267.8116,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8465,264.4665,267.4617,0,9,9,98,1,180,35,NA,NA,NA,NA,NA,1,10,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,270.8308,270.8312,270.8313,271.1585,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.91,267.8178,270.8302,0,10,10,27,1,21,30,NA,NA,NA,NA,NA,1,11,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,274.1558,274.4037,274.4037,274.5033,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,271.1659,274.1553,0,11,11,45,1,30,30,NA,NA,NA,NA,NA,1,12,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,277.5027,277.5028,277.5029,277.8504,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.9866,274.5055,277.5022,0,12,12,68,1,60,35,NA,NA,NA,NA,NA,1,13,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,280.866,280.8666,280.8668,281.2146,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3208,277.8532,280.8652,0,13,13,53,1,40,54,NA,NA,NA,NA,NA,1,14,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,284.213,284.2133,284.2136,284.5613,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8833,281.2209,284.2126,0,14,14,99,1,180,39,NA,NA,NA,NA,NA,1,15,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,287.56,287.5606,287.5607,287.9086,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7059,284.5662,287.5593,0,15,15,91,1,150,33,NA,NA,NA,NA,NA,1,16,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,290.9062,290.9064,290.9065,291.2555,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.8081,287.9134,290.9057,0,16,16,0,1,7,25,NA,NA,NA,NA,NA,1,17,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,294.2535,294.5021,294.5022,294.6018,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,291.2606,294.2526,0,17,17,83,1,95,54,NA,NA,NA,NA,NA,1,18,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,297.6166,297.6167,297.6168,297.9652,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.391,294.6069,297.6162,0,18,18,26,1,21,29,NA,NA,NA,NA,NA,1,19,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,300.9634,300.9642,300.9643,301.3116,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4418,297.9693,300.9629,0,19,19,80,1,95,35,NA,NA,NA,NA,NA,1,20,"likert"
"5CD8B649981640DC892D4F86CC8C5CFD",1,"0198eced-cec8-7443-89d8-8ce9db9fb599","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h09.17.588",NA,NA,304.3103,304.3105,304.3105,304.6573,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2214,301.3179,304.3095,0,20,20,51,1,40,40,NA,NA,NA,NA,NA,1,21,"likert"
