"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",27.7954,30.759,30.7602,31.0087,31.0089,31.1084,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",31.1118,34.1056,34.1059,34.1059,34.1059,34.4553,0,1,1,3,1,3,27,TRUE,1,0.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",34.4573,37.4528,37.4529,37.4531,37.4531,37.8027,0,2,2,0,1,7,30,TRUE,1,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",37.8042,40.7998,40.8,40.8001,40.8001,41.1495,0,3,3,1,1,100,50,TRUE,1,0.7946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",41.1523,44.1637,44.1639,44.1642,44.1642,44.5132,0,4,4,4,1,30,40,TRUE,1,0.6789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,63.8311,63.8313,63.8315,64.1808,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.573,60.8726,63.8302,0,0,0,52,1,40,47,NA,NA,NA,NA,NA,1,1,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,67.177,67.177,67.1771,67.5265,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0694,64.1824,67.1768,0,1,1,92,1,150,35,NA,NA,NA,NA,NA,1,2,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,70.524,70.5241,70.5242,70.8734,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5832,67.5287,70.5239,0,2,2,35,1,25,46,NA,NA,NA,NA,NA,1,3,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,73.8713,73.8714,73.8715,74.2208,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8516,70.8765,73.8711,0,3,3,99,1,180,39,NA,NA,NA,NA,NA,1,4,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,77.2348,77.2349,77.2351,77.5843,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.367,74.2229,77.2346,0,4,4,12,1,12,25,NA,NA,NA,NA,NA,1,5,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,80.5827,80.5828,80.5829,80.9316,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8614,77.5861,80.5821,0,5,5,90,1,150,31,NA,NA,NA,NA,NA,1,6,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,83.9291,83.9291,83.9291,84.2784,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.682,80.9341,83.9289,0,6,6,38,1,28,32,NA,NA,NA,NA,NA,1,7,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,87.2762,87.2764,87.2765,87.6255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9197,84.2801,87.276,0,7,7,30,1,25,27,NA,NA,NA,NA,NA,1,8,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,90.6232,90.6234,90.6234,90.9727,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.613,87.6273,90.623,0,8,8,29,1,21,38,NA,NA,NA,NA,NA,1,9,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,93.987,94.2366,94.2367,94.3365,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,90.9743,93.9868,0,9,9,56,1,45,31,NA,NA,NA,NA,NA,1,10,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,97.3346,97.3348,97.3348,97.6834,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0365,94.3383,97.3339,0,10,10,59,1,45,46,NA,NA,NA,NA,NA,1,11,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,100.6814,100.6815,100.6815,101.0306,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6157,97.685,100.6809,0,11,11,24,1,21,26,NA,NA,NA,NA,NA,1,12,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,104.0281,104.0282,104.0283,104.3778,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.266,101.0323,104.028,0,12,12,77,1,90,54,NA,NA,NA,NA,NA,1,13,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,107.3759,107.3759,107.376,107.7248,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.353,104.3795,107.3754,0,13,13,70,1,60,47,NA,NA,NA,NA,NA,1,14,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,110.7222,110.9719,110.972,111.0717,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,107.7267,110.7221,0,14,14,13,1,12,26,NA,NA,NA,NA,NA,1,15,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,114.0859,114.0861,114.0861,114.4356,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.7351,111.0734,114.0858,0,15,15,96,1,180,27,NA,NA,NA,NA,NA,1,16,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,117.4332,117.4333,117.4333,117.7826,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4815,114.4372,117.4331,0,16,16,107,1,200,54,NA,NA,NA,NA,NA,1,17,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,120.7801,120.7803,120.7803,121.1296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1933,117.7843,120.78,0,17,17,21,1,14,32,NA,NA,NA,NA,NA,1,18,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,124.1272,124.1273,124.1273,124.4769,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8159,121.1313,124.1271,0,18,18,67,1,60,33,NA,NA,NA,NA,NA,1,19,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,127.4743,127.4744,127.4744,127.8239,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8585,124.4785,127.4741,0,19,19,53,1,40,54,NA,NA,NA,NA,NA,1,20,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,130.8224,130.8225,130.8225,131.171,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.996,127.8256,130.8221,0,20,20,15,1,12,31,NA,NA,NA,NA,NA,1,21,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,134.1856,134.1859,134.186,134.5352,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8845,131.1726,134.1851,0,21,21,88,1,100,46,NA,NA,NA,NA,NA,1,22,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,137.5322,137.5324,137.5324,137.8817,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.296,134.5377,137.5321,0,22,22,9,1,10,29,NA,NA,NA,NA,NA,1,23,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,140.8794,140.8795,140.8795,141.2288,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6499,137.8832,140.8793,0,23,23,83,1,95,54,NA,NA,NA,NA,NA,1,24,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,144.2265,144.2265,144.2266,144.576,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8993,141.2306,144.2263,0,24,24,43,1,30,27,NA,NA,NA,NA,NA,1,25,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,147.5734,147.5735,147.5735,147.9229,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.187,144.578,147.5733,0,25,25,28,1,21,32,NA,NA,NA,NA,NA,1,26,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,150.9372,150.9373,150.9373,151.2867,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.104,147.9245,150.937,0,26,26,69,1,60,40,NA,NA,NA,NA,NA,1,27,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,154.2844,154.2846,154.2846,154.6337,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9312,151.2888,154.2841,0,27,27,65,1,50,54,NA,NA,NA,NA,NA,1,28,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,157.6314,157.6315,157.6315,157.9809,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7204,154.6355,157.6312,0,28,28,106,1,200,47,NA,NA,NA,NA,NA,1,29,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,160.9785,160.9786,160.9786,161.3283,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0129,157.9824,160.9784,0,29,29,11,1,10,32,NA,NA,NA,NA,NA,1,30,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,164.3257,164.3257,164.3257,164.675,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6829,161.3306,164.3254,0,30,30,32,1,25,31,NA,NA,NA,NA,NA,1,31,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,167.6731,167.6732,167.6733,168.0223,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7832,164.6768,167.6729,0,31,31,1,1,7,26,NA,NA,NA,NA,NA,1,32,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,171.0362,171.0365,171.0365,171.3859,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.132,168.0241,171.0362,0,32,32,54,1,45,26,NA,NA,NA,NA,NA,1,33,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,174.3833,174.3834,174.3835,174.7331,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.846,171.3875,174.3832,0,33,33,101,1,180,54,NA,NA,NA,NA,NA,1,34,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,177.7306,177.7306,177.7307,178.08,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7658,174.735,177.7303,0,34,34,17,1,12,35,NA,NA,NA,NA,NA,1,35,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,181.0775,181.0776,181.0776,181.4275,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0674,178.0819,181.0773,0,35,35,0,1,7,25,NA,NA,NA,NA,NA,1,36,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,184.4251,184.4252,184.4252,184.7742,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4119,181.4292,184.4248,0,36,36,87,1,100,39,NA,NA,NA,NA,NA,1,37,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,187.7717,187.7718,187.7718,188.1253,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4683,184.7763,187.7716,0,37,37,46,1,30,32,NA,NA,NA,NA,NA,1,38,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,191.1357,191.1358,191.1359,191.4849,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0104,188.1269,191.1354,0,38,38,3,1,7,30,NA,NA,NA,NA,NA,1,39,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,194.4828,194.483,194.4831,194.8322,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5454,191.4864,194.4825,0,39,39,66,1,60,29,NA,NA,NA,NA,NA,1,40,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,197.8297,197.8297,197.8298,198.1791,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6093,194.8341,197.8295,0,40,40,14,1,12,28,NA,NA,NA,NA,NA,1,41,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,201.1766,201.1767,201.1767,201.5264,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0866,198.1808,201.1765,0,41,41,71,1,60,54,NA,NA,NA,NA,NA,1,42,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,204.5238,204.7733,204.7733,204.8732,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,201.528,204.5236,0,42,42,4,1,7,32,NA,NA,NA,NA,NA,1,43,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,207.8711,208.1369,208.137,208.2371,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,204.8749,207.8709,0,43,43,81,1,95,40,NA,NA,NA,NA,NA,1,44,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,211.2348,211.2353,211.2354,211.584,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8493,208.2389,211.2345,0,44,44,85,1,100,31,NA,NA,NA,NA,NA,1,45,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,214.5815,214.5816,214.5817,214.9311,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6953,211.5866,214.5815,0,45,45,97,1,180,31,NA,NA,NA,NA,NA,1,46,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,217.9287,217.9288,217.9289,218.2782,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6498,214.9329,217.9286,0,46,46,64,1,50,46,NA,NA,NA,NA,NA,1,47,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,221.2768,221.2768,221.2769,221.6253,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0198,218.2797,221.2758,0,47,47,75,1,90,40,NA,NA,NA,NA,NA,1,48,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,224.623,224.623,224.623,224.9724,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8833,221.6269,224.6228,0,48,48,49,1,40,33,NA,NA,NA,NA,NA,1,49,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,227.9868,227.9869,227.9869,228.3361,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4202,224.9742,227.9866,0,49,49,10,1,10,30,NA,NA,NA,NA,NA,1,50,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,231.3338,231.3338,231.3338,231.6832,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4482,228.3379,231.3335,0,50,50,25,1,21,27,NA,NA,NA,NA,NA,1,51,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,234.6808,234.6808,234.6809,235.0304,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8775,231.6849,234.6806,0,51,51,48,1,40,27,NA,NA,NA,NA,NA,1,52,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,238.0279,238.028,238.0281,238.3773,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6791,235.0321,238.0278,0,52,52,95,1,150,54,NA,NA,NA,NA,NA,1,53,"likert"
"67C755B1DA5740C58756E5FD16792FB3",1,"0198eced-d732-78c5-98fb-93fb82e07fa8","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_22h08.13.860",NA,NA,241.3749,241.375,241.3751,241.7246,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7466,238.3791,241.3747,0,53,53,94,1,150,47,NA,NA,NA,NA,NA,1,54,"likert"
