"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",55.342,58.181,58.182,58.182,58.182,58.644,0,0,0,3,1,3,27,TRUE,5,1.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",58.646,61.633,61.633,61.633,61.634,61.966,0,1,1,1,1,100,50,TRUE,4,1.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",61.968,64.89,64.891,64.891,64.891,65.355,0,2,2,2,1,14,45,TRUE,5,1.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",65.363,68.274,68.274,68.274,68.274,68.603,0,3,3,4,1,30,40,TRUE,5,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",68.604,71.677,71.678,71.678,71.678,71.978,0,4,4,0,1,7,30,TRUE,5,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,91.293,91.293,91.293,91.621,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.365,88.376,91.292,0,0,0,7,1,10,26,NA,NA,NA,NA,NA,1,1,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,94.683,94.683,94.683,94.998,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.699,91.622,94.682,0,1,1,57,1,45,35,NA,NA,NA,NA,NA,1,2,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,97.951,97.951,97.951,98.417,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.716,95.006,97.951,0,2,2,20,1,14,28,NA,NA,NA,NA,NA,1,3,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,101.273,101.273,101.273,101.76,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.182,98.418,101.273,0,3,3,38,1,28,32,NA,NA,NA,NA,NA,1,4,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,104.68,104.68,104.68,105.138,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.689,101.769,104.68,0,4,4,15,1,12,31,NA,NA,NA,NA,NA,1,5,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,107.971,107.971,107.971,108.438,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.695,105.147,107.97,0,5,5,95,1,150,54,NA,NA,NA,NA,NA,1,6,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,111.395,111.395,111.395,111.724,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.91,108.44,111.394,0,6,6,22,1,14,35,NA,NA,NA,NA,NA,1,7,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,114.767,114.768,114.768,115.073,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.863,111.725,114.767,0,7,7,2,1,7,28,NA,NA,NA,NA,NA,1,8,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,118.022,118.022,118.022,118.533,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.899,115.08,118.021,0,8,8,5,1,7,35,NA,NA,NA,NA,NA,1,9,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,121.525,121.529,121.529,121.855,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.293,118.535,121.525,0,9,9,82,1,95,47,NA,NA,NA,NA,NA,1,10,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,124.864,124.864,124.864,125.18,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.037,121.863,124.864,0,10,10,12,1,12,25,NA,NA,NA,NA,NA,1,11,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,128.163,128.163,128.163,128.47,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.077,125.181,128.163,0,11,11,94,1,150,47,NA,NA,NA,NA,NA,1,12,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,131.57,131.57,131.57,131.869,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.045,128.478,131.57,0,12,12,106,1,200,47,NA,NA,NA,NA,NA,1,13,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,134.852,134.852,134.852,135.173,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.249,131.87,134.852,0,13,13,102,1,200,26,NA,NA,NA,NA,NA,1,14,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,138.23,138.231,138.231,138.536,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.019,135.181,138.23,0,14,14,23,1,14,39,NA,NA,NA,NA,NA,1,15,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,141.625,141.625,141.625,141.973,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.989,138.536,141.625,0,15,15,26,1,21,29,NA,NA,NA,NA,NA,1,16,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,144.928,144.928,144.928,145.227,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.262,141.981,144.927,0,16,16,81,1,95,40,NA,NA,NA,NA,NA,1,17,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,148.307,148.307,148.307,148.679,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.864,145.229,148.307,0,17,17,1,1,7,26,NA,NA,NA,NA,NA,1,18,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,151.598,151.598,151.598,151.901,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.882,148.687,151.598,0,18,18,52,1,40,47,NA,NA,NA,NA,NA,1,19,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,154.977,154.977,154.977,155.348,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.895,151.902,154.976,0,19,19,93,1,150,40,NA,NA,NA,NA,NA,1,20,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,158.242,158.242,158.242,158.691,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.892,155.349,158.242,0,20,20,28,1,21,32,NA,NA,NA,NA,NA,1,21,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,161.68,161.68,161.68,161.984,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.082,158.699,161.68,0,21,21,98,1,180,35,NA,NA,NA,NA,NA,1,22,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,165.068,165.068,165.068,165.385,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.574,161.986,165.068,0,22,22,77,1,90,54,NA,NA,NA,NA,NA,1,23,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,168.29,168.29,168.29,168.805,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.105,165.393,168.29,0,23,23,71,1,60,54,NA,NA,NA,NA,NA,1,24,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,171.718,171.718,171.718,172.044,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.222,168.806,171.718,0,24,24,39,1,28,35,NA,NA,NA,NA,NA,1,25,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,175.009,175.01,175.01,175.475,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.911,172.052,175.009,0,25,25,83,1,95,54,NA,NA,NA,NA,NA,1,26,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,178.336,178.336,178.336,178.826,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.024,175.483,178.335,0,26,26,25,1,21,27,NA,NA,NA,NA,NA,1,27,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,181.793,181.793,181.793,182.105,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.908,178.827,181.793,0,27,27,74,1,90,33,NA,NA,NA,NA,NA,1,28,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,185.191,185.191,185.191,185.503,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.249,182.106,185.191,0,28,28,92,1,150,35,NA,NA,NA,NA,NA,1,29,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,188.526,188.526,188.526,188.85,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.88,185.511,188.525,0,29,29,63,1,50,40,NA,NA,NA,NA,NA,1,30,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,191.881,191.882,191.882,192.207,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.853,188.858,191.881,0,30,30,43,1,30,27,NA,NA,NA,NA,NA,1,31,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,195.155,195.155,195.155,195.48,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.815,192.209,195.155,0,31,31,8,1,10,27,NA,NA,NA,NA,NA,1,32,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,198.537,198.537,198.537,198.837,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.878,195.489,198.536,0,32,32,58,1,45,40,NA,NA,NA,NA,NA,1,33,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,201.925,201.925,201.925,202.239,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.98,198.839,201.925,0,33,33,59,1,45,46,NA,NA,NA,NA,NA,1,34,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,205.221,205.221,205.221,205.534,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.263,202.248,205.22,0,34,34,97,1,180,31,NA,NA,NA,NA,NA,1,35,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,208.478,208.478,208.478,208.951,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.04,205.535,208.478,0,35,35,49,1,40,33,NA,NA,NA,NA,NA,1,36,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,211.851,211.851,211.851,212.345,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.067,208.958,211.85,0,36,36,4,1,7,32,NA,NA,NA,NA,NA,1,37,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,215.158,215.158,215.158,215.657,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.109,212.347,215.158,0,37,37,19,1,14,26,NA,NA,NA,NA,NA,1,38,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,218.546,218.546,218.546,219.011,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.007,215.665,218.546,0,38,38,79,1,95,33,NA,NA,NA,NA,NA,1,39,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,221.873,221.873,221.873,222.34,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.229,219.012,221.873,0,39,39,96,1,180,27,NA,NA,NA,NA,NA,1,40,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,225.212,225.212,225.212,225.677,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.873,222.349,225.211,0,40,40,32,1,25,31,NA,NA,NA,NA,NA,1,41,"likert"
"6AEA21E0CC19480D95EF78972E41A441",1,"01990a98-9d60-73ab-8c13-c486535ac4b3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h43.11.667",NA,NA,228.766,228.766,228.766,229.069,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.919,225.679,228.766,0,41,41,69,1,60,40,NA,NA,NA,NA,NA,1,42,"likert"
