"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",24.595,27.584,27.584,27.831,27.831,27.934,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",27.936,30.934,30.934,30.934,30.934,31.279,0,1,1,1,1,100,50,TRUE,5,1.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",31.28,34.279,34.279,34.279,34.279,34.63,0,2,2,0,1,7,30,TRUE,5,1.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",34.632,37.631,37.631,37.631,37.631,37.981,0,3,3,3,1,3,27,TRUE,3,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",37.985,40.981,40.982,40.982,40.982,41.333,0,4,4,4,1,30,40,TRUE,4,1.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,82.122,82.122,82.123,82.473,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.541,79.136,82.122,0,0,0,64,1,50,46,NA,NA,NA,NA,NA,1,1,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,85.473,85.473,85.473,85.818,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.022,82.475,85.472,0,1,1,97,1,180,31,NA,NA,NA,NA,NA,1,2,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,88.824,89.073,89.073,89.169,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,85.819,88.824,0,2,2,7,1,10,26,NA,NA,NA,NA,NA,1,3,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,92.169,92.169,92.169,92.521,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.968,89.17,92.169,0,3,3,48,1,40,27,NA,NA,NA,NA,NA,1,4,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,95.52,95.52,95.52,95.871,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.448,92.522,95.52,0,4,4,58,1,45,40,NA,NA,NA,NA,NA,1,5,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,98.871,98.871,98.871,99.222,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.123,95.872,98.871,0,5,5,46,1,30,32,NA,NA,NA,NA,NA,1,6,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,102.222,102.222,102.222,102.574,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.13,99.224,102.222,0,6,6,13,1,12,26,NA,NA,NA,NA,NA,1,7,"likert"
"6D87F2B153954ACC8A746A48872AE6B1",1,"01990a98-52e5-7b48-b9bd-1bffeb4ca40b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.11.735",NA,NA,105.574,105.574,105.574,105.918,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.662,102.575,105.574,0,7,7,81,1,95,40,NA,NA,NA,NA,NA,1,8,"likert"
