"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",77.9413,80.8869,80.8876,81.1366,81.1368,81.2369,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",81.2394,84.2362,84.2364,84.486,84.4862,84.5856,0,1,1,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",84.5873,87.5859,87.586,87.8357,87.8358,87.9357,0,2,2,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",87.937,90.9354,90.9355,90.9356,90.9356,91.2849,0,3,3,3,1,3,27,TRUE,2,2.4795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",91.2856,94.2851,94.2852,94.2853,94.2853,94.6344,0,4,4,1,1,100,50,TRUE,3,2.4651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,124.0495,124.2988,124.2989,124.3986,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,121.0665,124.0493,0,0,0,18,1,14,25,NA,NA,NA,NA,NA,1,1,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,127.3985,127.6479,127.6479,127.7481,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,124.3999,127.3984,0,1,1,46,1,30,32,NA,NA,NA,NA,NA,1,2,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,130.7482,130.9985,130.9986,131.0984,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,127.7494,130.748,0,2,2,8,1,10,27,NA,NA,NA,NA,NA,1,3,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,134.0984,134.0984,134.0984,134.4481,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.576,131.0997,134.0982,0,3,3,57,1,45,35,NA,NA,NA,NA,NA,1,4,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,137.4477,137.4478,137.4478,137.797,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.6928,134.45,137.4476,0,4,4,80,1,95,35,NA,NA,NA,NA,NA,1,5,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,140.7972,140.7973,140.7973,141.1474,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5782,137.7983,140.7969,0,5,5,83,1,95,54,NA,NA,NA,NA,NA,1,6,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,144.1469,144.3967,144.3969,144.4967,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,141.1486,144.1468,0,6,6,23,1,14,39,NA,NA,NA,NA,NA,1,7,"likert"
"71F47EAEE775441E9220F5F965A24448",1,"0198f77c-fee7-7077-afe9-9d3ad2c95a67","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.35.070",NA,NA,147.4968,147.746,147.746,147.8464,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,144.4985,147.4965,0,7,7,41,1,28,46,NA,NA,NA,NA,NA,1,8,"likert"
