"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",105.1737,108.1405,108.1414,108.3901,108.3902,108.4899,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",108.4931,111.4859,111.4863,111.4863,111.4863,111.8356,0,1,1,3,1,3,27,TRUE,5,1.6621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",111.8364,114.8486,114.8488,114.849,114.849,115.198,0,2,2,1,1,100,50,TRUE,5,1.5793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",115.2005,118.1945,118.1948,118.1949,118.195,118.544,0,3,3,0,1,7,30,TRUE,5,1.5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",118.5465,121.5401,121.5406,121.5406,121.5406,121.8896,0,4,4,4,1,30,40,TRUE,5,1.5655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",NA,NA,172.3948,172.395,172.3953,172.7434,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3573,169.4345,172.394,0,0,0,102,1,200,26,NA,NA,NA,NA,NA,1,1,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",NA,NA,175.7399,175.74,175.74,176.089,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.306,172.746,175.7395,0,1,1,30,1,25,27,NA,NA,NA,NA,NA,1,2,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",NA,NA,179.102,179.1022,179.1022,179.4516,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.3964,176.0917,179.1019,0,2,2,29,1,21,38,NA,NA,NA,NA,NA,1,3,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",NA,NA,182.4483,182.4484,182.4484,182.7972,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6156,179.4541,182.448,0,3,3,100,1,180,46,NA,NA,NA,NA,NA,1,4,"likert"
"75855CF14D7445938636BC9DC9893591",1,"01990a97-dcf5-78ae-972f-b8d437c7e986","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h23.37.954",NA,NA,185.7941,185.7942,185.7942,186.1433,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7239,182.7999,185.7938,0,4,4,53,1,40,54,NA,NA,NA,NA,NA,1,5,"likert"
