"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",109.7696,112.7922,112.7925,112.7931,112.7932,113.1247,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",113.1271,116.1089,116.1092,116.1092,116.1092,116.4445,0,1,1,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",116.4457,119.27,119.2703,119.6014,119.6014,119.7649,0,2,2,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",119.7658,122.8734,122.8736,122.8737,122.8737,123.0343,0,3,3,0,1,7,30,TRUE,5,0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",123.035,126.0005,126.0007,126.0007,126.0008,126.5023,0,4,4,4,1,30,40,TRUE,1,1.4355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,213.7779,213.7781,213.7781,214.1079,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4703,210.776,213.7777,0,0,0,30,1,25,27,NA,NA,NA,NA,NA,1,1,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,217.089,217.089,217.089,217.4133,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4206,214.1088,217.0887,0,1,1,37,1,28,28,NA,NA,NA,NA,NA,1,2,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,220.4152,220.4153,220.4153,220.7377,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.651,217.4141,220.415,0,2,2,91,1,150,33,NA,NA,NA,NA,NA,1,3,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,223.6993,224.0299,224.0299,224.1968,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,220.7385,223.6991,0,3,3,62,1,50,35,NA,NA,NA,NA,NA,1,4,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,227.1339,227.1339,227.1339,227.4657,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5749,224.1978,227.1336,0,4,4,82,1,95,47,NA,NA,NA,NA,NA,1,5,"likert"
"8975664DAC7B4D7D926F3667FFF9A602",1,"01990a98-3114-78cc-8a4d-80abc0a3c0eb","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.23.984",NA,NA,230.4165,230.4165,230.4165,230.7401,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5708,227.4666,230.4162,0,5,5,102,1,200,26,NA,NA,NA,NA,NA,1,6,"likert"
