"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",19.5452,22.5014,22.5024,22.7505,22.7506,22.8508,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",22.8521,25.8477,25.8479,25.8479,25.848,26.1971,0,1,1,3,1,3,27,TRUE,4,1.5347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",26.1987,29.1942,29.1943,29.1944,29.1945,29.5439,0,2,2,2,1,14,45,TRUE,5,1.7166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",29.545,32.558,32.5583,32.5585,32.5586,32.9075,0,3,3,4,1,30,40,TRUE,2,1.5975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",32.9092,35.9044,35.905,35.9051,35.9052,36.2539,0,4,4,1,1,100,50,TRUE,2,2.4906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",NA,NA,59.8374,59.8376,59.8378,60.1813,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2311,56.8676,59.8369,0,0,0,42,1,30,26,NA,NA,NA,NA,NA,1,1,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",NA,NA,63.1841,63.1841,63.1841,63.5331,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4713,60.1829,63.1836,0,1,1,12,1,12,25,NA,NA,NA,NA,NA,1,2,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",NA,NA,66.5301,66.5302,66.5302,66.8744,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9326,63.5343,66.53,0,2,2,45,1,30,30,NA,NA,NA,NA,NA,1,3,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",NA,NA,69.8885,69.8885,69.8886,70.242,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4114,66.8762,69.8883,0,3,3,59,1,45,46,NA,NA,NA,NA,NA,1,4,"likert"
"89E0BF9E8EB145F88577FBED3C82A839",1,"0198f77d-0de6-7b6e-8357-f7bba9ec3361","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h22.26.048",NA,NA,73.2352,73.2354,73.2354,73.5724,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5679,70.2441,73.235,0,4,4,103,1,200,28,NA,NA,NA,NA,NA,1,5,"likert"
