"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",501.0573,504.0419,504.043,504.2915,504.2916,504.3912,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",504.3935,507.3889,507.3891,507.6386,507.6388,507.7385,0,1,1,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",507.7397,510.736,510.7362,510.9858,510.9858,511.0855,0,2,2,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",511.0873,514.0829,514.083,514.3327,514.3327,514.4325,0,3,3,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",514.4339,517.4467,517.4469,517.4469,517.4469,517.7965,0,4,4,2,1,14,45,TRUE,5,1.3521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,575.7812,576.0305,576.0307,576.1301,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,572.7969,575.7808,0,0,0,0,1,7,25,NA,NA,NA,NA,NA,1,1,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,579.1276,579.1276,579.1276,579.4773,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7729,576.131,579.1274,0,1,1,73,1,90,30,NA,NA,NA,NA,NA,1,2,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,582.4752,582.4753,582.4754,582.8244,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.9355,579.4782,582.4751,0,2,2,53,1,40,54,NA,NA,NA,NA,NA,1,3,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,585.8222,585.8222,585.8223,586.1717,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3781,582.8257,585.822,0,3,3,89,1,100,54,NA,NA,NA,NA,NA,1,4,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,589.1861,589.4357,589.4357,589.5356,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,586.1735,589.186,0,4,4,99,1,180,39,NA,NA,NA,NA,NA,1,5,"likert"
"8ACA60070AC94E9AA3C66F555D375A0F",1,"0198f781-4c7a-7753-a49d-230694c7a4b2","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h26.46.458",NA,NA,592.5333,592.7828,592.7829,592.8826,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,589.5367,592.5331,0,5,5,81,1,95,40,NA,NA,NA,NA,NA,1,6,"likert"
