"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",138.5072,141.4857,141.4869,141.7356,141.7359,141.8356,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",141.8395,144.8352,144.8354,144.8355,144.8355,145.1847,0,1,1,3,1,3,27,TRUE,1,1.7222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",145.1861,148.1847,148.1851,148.1851,148.1852,148.5343,0,2,2,0,1,7,30,TRUE,1,2.9721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",148.5368,151.5343,151.5346,151.7839,151.784,151.884,0,3,3,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",151.8857,154.8837,154.8841,154.8843,154.8843,155.2337,0,4,4,2,1,14,45,TRUE,5,2.8919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",NA,NA,338.0772,338.0773,338.0775,338.4269,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.821,335.1056,338.0766,0,0,0,34,1,25,35,NA,NA,NA,NA,NA,1,1,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",NA,NA,341.4267,341.4268,341.4269,341.7762,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.1103,338.4286,341.4265,0,1,1,106,1,200,47,NA,NA,NA,NA,NA,1,2,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",NA,NA,344.7763,344.7764,344.7764,345.1255,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.7315,341.7782,344.7762,0,2,2,48,1,40,27,NA,NA,NA,NA,NA,1,3,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",NA,NA,348.1249,348.125,348.125,348.4751,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.9591,345.1282,348.1245,0,3,3,14,1,12,28,NA,NA,NA,NA,NA,1,4,"likert"
"8B0A7B870B0243B1A3B69EFF69BD06EC",1,"01990a98-282f-7613-87fc-abdde9d8780e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.43.962",NA,NA,351.4751,351.4752,351.4752,351.825,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.4352,348.4766,351.4749,0,4,4,47,1,30,38,NA,NA,NA,NA,NA,1,5,"likert"
