"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",111.9242,114.9047,114.9056,115.1556,115.1557,115.2547,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",115.2563,118.2553,118.2555,118.2555,118.2555,118.6053,0,1,1,0,1,7,30,TRUE,1,0.0829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",118.6065,121.6053,121.6055,121.6055,121.6055,121.9552,0,2,2,1,1,100,50,TRUE,3,2.1478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",121.9565,124.9553,124.9555,124.9555,124.9556,125.3053,0,3,3,3,1,3,27,TRUE,5,2.6133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",125.3066,128.3053,128.3055,128.3055,128.3055,128.6552,0,4,4,4,1,30,40,TRUE,4,2.8876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,165.5549,165.555,165.5551,165.9052,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.258,162.574,165.5545,0,0,0,36,1,28,26,NA,NA,NA,NA,NA,1,1,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,168.9046,168.9046,168.9046,169.255,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.3713,165.9067,168.9044,0,1,1,98,1,180,35,NA,NA,NA,NA,NA,1,2,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,172.2552,172.2552,172.2552,172.6041,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.2886,169.2562,172.2551,0,2,2,95,1,150,54,NA,NA,NA,NA,NA,1,3,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,175.6052,175.6052,175.6052,175.955,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0501,172.6054,175.605,0,3,3,28,1,21,32,NA,NA,NA,NA,NA,1,4,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,178.9551,178.9552,178.9552,179.304,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.8662,175.9562,178.955,0,4,4,37,1,28,28,NA,NA,NA,NA,NA,1,5,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,182.3053,182.3053,182.3054,182.655,NA,NA,NA,NA,NA,NA,NA,TRUE,3,0.9986,179.3053,182.3051,0,5,5,82,1,95,47,NA,NA,NA,NA,NA,1,6,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,185.6553,185.6554,185.6554,186.0049,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.1155,182.6562,185.6551,0,6,6,57,1,45,35,NA,NA,NA,NA,NA,1,7,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,189.0051,189.0052,189.0052,189.3549,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8465,186.0062,189.0049,0,7,7,72,1,90,26,NA,NA,NA,NA,NA,1,8,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,192.3552,192.6049,192.6049,192.7049,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,189.3561,192.355,0,8,8,50,1,40,35,NA,NA,NA,NA,NA,1,9,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,195.705,195.705,195.7051,196.0541,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8494,192.7061,195.7048,0,9,9,21,1,14,32,NA,NA,NA,NA,NA,1,10,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,199.055,199.055,199.055,199.404,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7569,196.0552,199.0548,0,10,10,26,1,21,29,NA,NA,NA,NA,NA,1,11,"likert"
"945B815AA9D04EDBA58B91E4C01FA46D",1,"01990ab6-88ea-7ad2-a3c1-88f3a4153a72","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h12.16.921",NA,NA,202.405,202.405,202.405,202.7548,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0068,199.4052,202.4049,0,11,11,30,1,25,27,NA,NA,NA,NA,NA,1,12,"likert"
