"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",47.5831,50.5677,50.5681,50.8118,50.8122,50.9065,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",50.9085,53.9118,53.9119,53.9119,53.9119,54.2703,0,1,1,0,1,7,30,TRUE,5,1.5364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",54.2729,57.2674,57.2682,57.2684,57.2684,57.6058,0,2,2,2,1,14,45,TRUE,5,1.2917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",57.6087,60.6135,60.6136,60.6136,60.6136,60.9659,0,3,3,1,1,100,50,TRUE,5,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",60.969,63.963,63.9631,63.9632,63.9632,64.3124,0,4,4,4,1,30,40,TRUE,5,0.9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",NA,NA,95.4326,95.4328,95.4328,95.7837,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.8235,92.446,95.4321,0,0,0,71,1,60,54,NA,NA,NA,NA,NA,1,1,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",NA,NA,98.7802,98.7802,98.7802,99.1379,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.9157,95.787,98.7801,0,1,1,97,1,180,31,NA,NA,NA,NA,NA,1,2,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",NA,NA,102.1306,102.1309,102.1311,102.4799,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6179,99.1403,102.1304,0,2,2,28,1,21,32,NA,NA,NA,NA,NA,1,3,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",NA,NA,105.4817,105.4817,105.4817,105.826,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.4627,102.4834,105.4815,0,3,3,42,1,30,26,NA,NA,NA,NA,NA,1,4,"likert"
"96228F9246F549218C4B276134184D44",1,"0198f77f-a999-7cd7-8e9a-3b3274d3df0b","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h23.56.250",NA,NA,108.8241,108.8243,108.8243,109.1753,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.2716,105.8286,108.8237,0,4,4,100,1,180,46,NA,NA,NA,NA,NA,1,5,"likert"
