"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",62.587,65.598,65.606,65.61,65.61,65.922,0,0,0,0,1,7,30,TRUE,1,2.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",65.924,68.936,68.937,69.095,69.095,69.251,0,1,1,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",69.253,72.164,72.165,72.165,72.165,72.647,0,2,2,1,1,100,50,TRUE,1,1.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",72.656,75.642,75.642,75.642,75.642,75.949,0,3,3,4,1,30,40,TRUE,1,1.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",75.957,78.946,78.947,78.947,78.947,79.276,0,4,4,2,1,14,45,TRUE,1,2.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",NA,NA,201.163,201.508,201.508,201.663,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,198.32,201.162,0,0,0,48,1,40,27,NA,NA,NA,NA,NA,1,1,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",NA,NA,204.598,204.598,204.599,204.911,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.702,201.665,204.598,0,1,1,6,1,10,25,NA,NA,NA,NA,NA,1,2,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",NA,NA,207.912,207.912,207.912,208.377,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.462,204.921,207.911,0,2,2,44,1,30,29,NA,NA,NA,NA,NA,1,3,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",NA,NA,211.297,211.297,211.297,211.637,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.225,208.378,211.296,0,3,3,14,1,12,28,NA,NA,NA,NA,NA,1,4,"likert"
"97149AC2E8DA41C593B79D71CA0C1F36",1,"01990a9b-b7e4-716d-a6fd-e9aba7089a93","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.58.162",NA,NA,214.591,214.591,214.591,215.081,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.094,211.646,214.59,0,4,4,16,1,12,33,NA,NA,NA,NA,NA,1,5,"likert"
