"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",64.7256,67.7078,67.7085,67.9569,67.957,68.0569,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",68.059,71.0562,71.0564,71.0565,71.0565,71.4068,0,1,1,0,1,7,30,TRUE,2,2.2961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",71.408,74.406,74.4062,74.4062,74.4062,74.7561,0,2,2,4,1,30,40,TRUE,3,1.9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",74.7572,77.7555,77.7556,77.7557,77.7558,78.1056,0,3,3,3,1,3,27,TRUE,1,1.3506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",78.1068,81.105,81.1051,81.1052,81.1052,81.4552,0,4,4,1,1,100,50,TRUE,1,1.8148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",NA,NA,120.917,120.9172,120.9172,121.2668,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3055,117.9362,120.9167,0,0,0,60,1,50,27,NA,NA,NA,NA,NA,1,1,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",NA,NA,124.2659,124.2659,124.2659,124.616,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9692,121.2682,124.2658,0,1,1,59,1,45,46,NA,NA,NA,NA,NA,1,2,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",NA,NA,127.6155,127.6156,127.6156,127.9654,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3682,124.6171,127.6154,0,2,2,1,1,7,26,NA,NA,NA,NA,NA,1,3,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",NA,NA,130.9654,130.9655,130.9655,131.3152,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2004,127.9671,130.9652,0,3,3,47,1,30,38,NA,NA,NA,NA,NA,1,4,"likert"
"9A86A88B229145CA9943EAA00F48703F",1,"01990a97-dc2c-75b8-8876-e5e26662225b","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.48.215",NA,NA,134.3153,134.3154,134.3154,134.6648,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6495,131.3164,134.3151,0,4,4,56,1,45,31,NA,NA,NA,NA,NA,1,5,"likert"
