"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",31.9736,34.8648,34.8652,34.8653,34.8654,35.2487,0,0,0,0,1,7,30,TRUE,5,1.6867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",35.2496,38.0242,38.0248,38.0248,38.0249,38.766,0,1,1,4,1,30,40,TRUE,4,0.0089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",38.7673,41.5747,41.5749,41.9448,41.9448,41.9449,0,2,2,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",41.9456,45.1411,45.1413,45.1413,45.1413,45.538,0,3,3,2,1,14,45,TRUE,4,0.8148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",45.5388,48.285,48.2852,48.2852,48.2853,48.6747,0,4,4,1,1,100,50,TRUE,5,2.3957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,107.4072,107.4073,107.4073,107.7595,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6736,104.5148,107.407,0,0,0,92,1,150,35,NA,NA,NA,NA,NA,1,1,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,110.5281,110.5281,110.5281,111.2518,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.2108,107.7602,110.528,0,1,1,90,1,150,31,NA,NA,NA,NA,NA,1,2,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,114.0351,114.0351,114.0351,114.7912,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.6383,111.2528,114.0348,0,2,2,67,1,60,33,NA,NA,NA,NA,NA,1,3,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,117.218,117.6306,117.6307,117.9942,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,114.7987,117.2178,0,3,3,101,1,180,54,NA,NA,NA,NA,NA,1,4,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,120.7827,121.1451,121.1451,121.1451,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,117.995,120.7824,0,4,4,12,1,12,25,NA,NA,NA,NA,NA,1,5,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,124.0652,124.0652,124.0652,124.7873,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.3505,121.1457,124.065,0,5,5,107,1,200,54,NA,NA,NA,NA,NA,1,6,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,127.5446,127.5447,127.5447,127.918,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.1784,124.788,127.5444,0,6,6,103,1,200,28,NA,NA,NA,NA,NA,1,7,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,130.814,130.8141,130.8142,131.195,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.2092,127.9187,130.8138,0,7,7,0,1,7,25,NA,NA,NA,NA,NA,1,8,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,134.1543,134.1544,134.1544,134.5523,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1345,131.1957,134.1542,0,8,8,63,1,50,40,NA,NA,NA,NA,NA,1,9,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,137.3088,137.6812,137.6812,138.07,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,134.5532,137.3085,0,9,9,23,1,14,39,NA,NA,NA,NA,NA,1,10,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,140.9622,140.9622,140.9622,141.3269,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.656,138.0707,140.9619,0,10,10,36,1,28,26,NA,NA,NA,NA,NA,1,11,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,144.1,144.1,144.1,144.9459,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9586,141.3277,144.0998,0,11,11,9,1,10,29,NA,NA,NA,NA,NA,1,12,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,147.7044,147.7044,147.7044,148.0799,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9689,144.9482,147.7041,0,12,12,27,1,21,30,NA,NA,NA,NA,NA,1,13,"likert"
"9E60D384294A4390A567618D0B1BC407",1,"01990a98-9360-719a-a203-5f72e82d3eff","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_07h06.49.209",NA,NA,150.9496,150.9496,150.9496,151.2979,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.2346,148.0807,150.9494,0,13,13,52,1,40,47,NA,NA,NA,NA,NA,1,14,"likert"
