"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",65.2528,68.1676,68.1693,68.4172,68.4176,68.5174,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",68.5249,71.5174,71.5181,71.7662,71.7665,71.8665,0,1,1,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",71.8711,74.8668,74.8682,74.8683,74.8684,75.2168,0,2,2,1,1,100,50,TRUE,1,2.2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",75.2209,78.2176,78.2181,78.466,78.4662,78.5664,0,3,3,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",78.5707,81.5664,81.5674,81.8172,81.8173,81.916,0,4,4,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,144.2152,144.2157,144.2162,144.5635,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8157,141.2833,144.2139,0,0,0,45,1,30,30,NA,NA,NA,NA,NA,1,1,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,147.5642,147.5645,147.5646,147.9124,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7502,144.5677,147.5634,0,1,1,95,1,150,54,NA,NA,NA,NA,NA,1,2,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,150.9132,150.9135,150.9136,151.2621,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7393,147.9161,150.9123,0,2,2,30,1,25,27,NA,NA,NA,NA,NA,1,3,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,154.2655,154.2658,154.2659,154.6119,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.812,151.2673,154.2648,0,3,3,47,1,30,38,NA,NA,NA,NA,NA,1,4,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,157.613,157.6131,157.6132,157.9617,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.7989,154.617,157.6124,0,4,4,81,1,95,40,NA,NA,NA,NA,NA,1,5,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,160.963,160.9633,160.9633,161.3113,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.7966,157.9661,160.9617,0,5,5,15,1,12,31,NA,NA,NA,NA,NA,1,6,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,164.3126,164.3128,164.3129,164.6618,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5148,161.3154,164.3115,0,6,6,17,1,12,35,NA,NA,NA,NA,NA,1,7,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,167.6627,167.9111,167.9115,168.0112,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,164.6658,167.6619,0,7,7,12,1,12,25,NA,NA,NA,NA,NA,1,8,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,171.0121,171.0123,171.0123,171.3614,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4994,168.015,171.0113,0,8,8,99,1,180,39,NA,NA,NA,NA,NA,1,9,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,174.3617,174.3618,174.3619,174.7107,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3518,171.3654,174.3611,0,9,9,62,1,50,35,NA,NA,NA,NA,NA,1,10,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,177.7126,177.7127,177.7129,178.0612,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.6064,174.7152,177.7115,0,10,10,13,1,12,26,NA,NA,NA,NA,NA,1,11,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,181.0612,181.0613,181.0614,181.4102,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.4455,178.0649,181.0606,0,11,11,56,1,45,31,NA,NA,NA,NA,NA,1,12,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,184.4114,184.6608,184.6608,184.7602,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,181.4147,184.4108,0,12,12,18,1,14,25,NA,NA,NA,NA,NA,1,13,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,187.761,187.7613,187.7613,188.1105,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5696,184.7643,187.7605,0,13,13,98,1,180,35,NA,NA,NA,NA,NA,1,14,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,191.111,191.1112,191.1112,191.4601,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0374,188.1145,191.1104,0,14,14,88,1,100,46,NA,NA,NA,NA,NA,1,15,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,194.4605,194.4606,194.4607,194.81,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6372,191.4639,194.4597,0,15,15,105,1,200,39,NA,NA,NA,NA,NA,1,16,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,197.8107,197.8108,197.8109,198.1594,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5747,194.8143,197.8101,0,16,16,101,1,180,54,NA,NA,NA,NA,NA,1,17,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,201.1605,201.1607,201.1607,201.5091,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2061,198.1634,201.1596,0,17,17,19,1,14,26,NA,NA,NA,NA,NA,1,18,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,204.5112,204.5114,204.5114,204.8593,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6985,201.5134,204.5106,0,18,18,82,1,95,47,NA,NA,NA,NA,NA,1,19,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,207.8598,207.86,207.86,208.2093,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2731,204.8633,207.8592,0,19,19,46,1,30,32,NA,NA,NA,NA,NA,1,20,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,211.2097,211.2098,211.21,211.5588,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.378,208.2132,211.2091,0,20,20,44,1,30,29,NA,NA,NA,NA,NA,1,21,"likert"
"A9CEA77863774ACFAE514BF52A8485AE",1,"01990a98-f06d-7bba-a35e-8f81b4b84148","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h48.28.035",NA,NA,214.5596,214.5597,214.5598,214.9089,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.836,211.5632,214.5589,0,21,21,33,1,25,33,NA,NA,NA,NA,NA,1,22,"likert"
