"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",12.3826,15.3579,15.3584,15.6078,15.6079,15.7079,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",15.7097,18.6982,18.6983,18.6983,18.6983,19.0486,0,1,1,4,1,30,40,TRUE,4,1.3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",19.0494,22.0662,22.0665,22.0666,22.0666,22.4099,0,2,2,0,1,7,30,TRUE,1,0.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",22.4108,25.395,25.3952,25.3953,25.3953,25.7448,0,3,3,3,1,3,27,TRUE,4,1.1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",25.7468,28.7457,28.7458,28.7458,28.7458,29.0961,0,4,4,1,1,100,50,TRUE,1,1.5341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,64.8428,64.843,64.8431,65.193,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1944,61.8617,64.8426,0,0,0,106,1,200,47,NA,NA,NA,NA,NA,1,1,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,68.1938,68.1939,68.1939,68.544,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3603,65.1947,68.1937,0,1,1,23,1,14,39,NA,NA,NA,NA,NA,1,2,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,71.5454,71.5455,71.5455,71.8951,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1673,68.5447,71.5452,0,2,2,27,1,21,30,NA,NA,NA,NA,NA,1,3,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,74.8799,74.88,74.88,75.2296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6596,71.8963,74.8798,0,3,3,105,1,200,39,NA,NA,NA,NA,NA,1,4,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,78.2309,78.231,78.231,78.5811,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7079,75.2306,78.2308,0,4,4,15,1,12,31,NA,NA,NA,NA,NA,1,5,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,81.5858,81.5858,81.5858,81.9321,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.303,78.5821,81.5858,0,5,5,17,1,12,35,NA,NA,NA,NA,NA,1,6,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,84.9339,84.9339,84.9341,85.2837,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8768,81.9329,84.9337,0,6,6,62,1,50,35,NA,NA,NA,NA,NA,1,7,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,88.2846,88.2846,88.2847,88.6346,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7677,85.2852,88.2845,0,7,7,81,1,95,40,NA,NA,NA,NA,NA,1,8,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,91.6364,91.6366,91.6366,91.986,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0839,88.6357,91.6361,0,8,8,24,1,21,26,NA,NA,NA,NA,NA,1,9,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,94.9876,94.9876,94.9877,95.3374,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7581,91.9867,94.9873,0,9,9,67,1,60,33,NA,NA,NA,NA,NA,1,10,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,98.3385,98.3386,98.3386,98.6888,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4565,95.3392,98.3383,0,10,10,22,1,14,35,NA,NA,NA,NA,NA,1,11,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,101.6898,101.6898,101.6898,102.0406,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8761,98.6899,101.6897,0,11,11,21,1,14,32,NA,NA,NA,NA,NA,1,12,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,105.0409,105.041,105.041,105.3908,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1997,102.0431,105.0408,0,12,12,6,1,10,25,NA,NA,NA,NA,NA,1,13,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,108.3924,108.3925,108.3925,108.7424,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8911,105.3917,108.3922,0,13,13,46,1,30,32,NA,NA,NA,NA,NA,1,14,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,111.7437,111.7437,111.7437,112.0936,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7341,108.7434,111.7435,0,14,14,100,1,180,46,NA,NA,NA,NA,NA,1,15,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,115.0946,115.0947,115.0947,115.4448,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7725,112.095,115.0945,0,15,15,68,1,60,35,NA,NA,NA,NA,NA,1,16,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,118.4462,118.4462,118.4462,118.7958,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8012,115.4457,118.446,0,16,16,82,1,95,47,NA,NA,NA,NA,NA,1,17,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,121.7807,121.7808,121.7808,122.1305,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6896,118.7967,121.7806,0,17,17,93,1,150,40,NA,NA,NA,NA,NA,1,18,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,125.1317,125.1317,125.1317,125.4819,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7173,122.1316,125.1316,0,18,18,45,1,30,30,NA,NA,NA,NA,NA,1,19,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,128.4834,128.4834,128.4835,128.833,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6506,125.4829,128.4832,0,19,19,83,1,95,54,NA,NA,NA,NA,NA,1,20,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,131.8348,131.8349,131.8349,132.1842,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5016,128.8339,131.8345,0,20,20,53,1,40,54,NA,NA,NA,NA,NA,1,21,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,135.1855,135.1856,135.1857,135.5355,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9503,132.185,135.1854,0,21,21,0,1,7,25,NA,NA,NA,NA,NA,1,22,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,138.5369,138.5369,138.537,138.8867,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4173,135.5369,138.5367,0,22,22,39,1,28,35,NA,NA,NA,NA,NA,1,23,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,141.8884,141.8884,141.8884,142.2394,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9184,138.8874,141.8882,0,23,23,11,1,10,32,NA,NA,NA,NA,NA,1,24,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,145.2393,145.2393,145.2393,145.5894,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9507,142.2404,145.2392,0,24,24,103,1,200,28,NA,NA,NA,NA,NA,1,25,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,148.5905,148.5906,148.5906,148.9404,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0674,145.5902,148.5905,0,25,25,52,1,40,47,NA,NA,NA,NA,NA,1,26,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,151.9416,151.9416,151.9417,152.281,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9568,148.9412,151.9415,0,26,26,16,1,12,33,NA,NA,NA,NA,NA,1,27,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,155.2929,155.2929,155.2929,155.6431,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7576,152.2818,155.2928,0,27,27,19,1,14,26,NA,NA,NA,NA,NA,1,28,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,158.6443,158.6444,158.6444,158.9941,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6358,155.6442,158.6442,0,28,28,48,1,40,27,NA,NA,NA,NA,NA,1,29,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,161.9958,161.9958,161.9959,162.3348,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7173,158.9949,161.9956,0,29,29,71,1,60,54,NA,NA,NA,NA,NA,1,30,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,165.3303,165.3303,165.3303,165.68,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7356,162.3357,165.3301,0,30,30,79,1,95,33,NA,NA,NA,NA,NA,1,31,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,168.6817,168.6817,168.6817,169.0323,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6006,165.6809,168.6815,0,31,31,49,1,40,33,NA,NA,NA,NA,NA,1,32,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,172.0326,172.0326,172.0326,172.3889,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0357,169.0346,172.0326,0,32,32,34,1,25,35,NA,NA,NA,NA,NA,1,33,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,175.3839,175.384,175.384,175.7339,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7506,172.3899,175.3837,0,33,33,30,1,25,27,NA,NA,NA,NA,NA,1,34,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,178.7353,178.7353,178.7353,179.0849,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0175,175.7346,178.7351,0,34,34,25,1,21,27,NA,NA,NA,NA,NA,1,35,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,182.0863,182.0863,182.0863,182.4362,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0898,179.086,182.0861,0,35,35,20,1,14,28,NA,NA,NA,NA,NA,1,36,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,185.4376,185.4376,185.4376,185.7878,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0943,182.4373,185.4375,0,36,36,47,1,30,38,NA,NA,NA,NA,NA,1,37,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,188.7891,188.7891,188.7891,189.1391,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0838,185.7888,188.7889,0,37,37,50,1,40,35,NA,NA,NA,NA,NA,1,38,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,192.1434,192.1435,192.1435,192.4903,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3051,189.1406,192.1434,0,38,38,29,1,21,38,NA,NA,NA,NA,NA,1,39,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,195.4914,195.4914,195.4914,195.8412,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8574,192.4912,195.4912,0,39,39,51,1,40,40,NA,NA,NA,NA,NA,1,40,"likert"
"AAE6A7BF55A54CA29822014110DEFF70",1,"01990a98-117f-7cf3-a320-8acba61326a3","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h21.51.513",NA,NA,198.8428,198.8428,198.8428,199.1925,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7199,195.842,198.8426,0,40,40,8,1,10,27,NA,NA,NA,NA,NA,1,41,"likert"
