"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",27.9118,30.8674,30.8679,31.2533,31.2534,31.2539,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",31.2552,34.2036,34.2038,34.2038,34.2038,34.5869,0,1,1,2,1,14,45,TRUE,2,1.3984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",34.5876,37.6462,37.6465,37.6465,37.6465,38.0337,0,2,2,1,1,100,50,TRUE,4,0.8516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",38.0345,40.9434,40.9437,40.9437,40.9437,41.2976,0,3,3,3,1,3,27,TRUE,5,1.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",41.2984,44.2158,44.216,44.216,44.2161,44.5795,0,4,4,4,1,30,40,TRUE,3,0.8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",NA,NA,1488.6601,1489.0756,1489.0756,1489.0757,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,1485.8473,1488.6591,0,0,0,8,1,10,27,NA,NA,NA,NA,NA,1,1,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",NA,NA,1492.053,1492.053,1492.053,1492.4518,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3852,1489.0765,1492.0529,0,1,1,23,1,14,39,NA,NA,NA,NA,NA,1,2,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",NA,NA,1495.4401,1495.4401,1495.4401,1495.8429,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.8038,1492.4524,1495.4399,0,2,2,104,1,200,35,NA,NA,NA,NA,NA,1,3,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",NA,NA,1498.8289,1498.8289,1498.8289,1499.1906,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5996,1495.8438,1498.8286,0,3,3,66,1,60,29,NA,NA,NA,NA,NA,1,4,"likert"
"BA97327C451541168A987783DB12FFFF",1,"01990a98-2cda-7cec-b6a6-8df86bbe200c","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h29.49.432",NA,NA,1502.253,1502.253,1502.253,1502.6224,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.9927,1499.1912,1502.2527,0,4,4,83,1,95,54,NA,NA,NA,NA,NA,1,5,"likert"
