"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",38.3435,41.309,41.3096,41.5589,41.5591,41.6587,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",41.661,44.6557,44.6559,44.6559,44.6559,45.0052,0,1,1,2,1,14,45,TRUE,5,2.0163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",45.0063,48.0019,48.002,48.002,48.002,48.3516,0,2,2,1,1,100,50,TRUE,5,1.4876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",48.3529,51.3658,51.3659,51.3659,51.3659,51.7155,0,3,3,3,1,3,27,TRUE,3,2.5105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",51.7162,54.7132,54.7133,54.963,54.963,55.0627,0,4,4,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",NA,NA,84.186,84.1864,84.1866,84.5346,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.6081,81.2081,84.1856,0,0,0,100,1,180,46,NA,NA,NA,NA,NA,1,1,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",NA,NA,87.5327,87.5327,87.5327,87.8818,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.1751,84.5355,87.5326,0,1,1,71,1,60,54,NA,NA,NA,NA,NA,1,2,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",NA,NA,90.8795,90.8795,90.8795,91.2285,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2536,87.8839,90.8794,0,2,2,23,1,14,39,NA,NA,NA,NA,NA,1,3,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",NA,NA,94.2263,94.2264,94.2264,94.5759,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.8439,91.2293,94.2262,0,3,3,35,1,25,46,NA,NA,NA,NA,NA,1,4,"likert"
"BBF3557DBE1440E6A1E442881560D6FF",1,"01990a99-0785-75c3-a416-95d7bbf37a6a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.34.068",NA,NA,97.5898,97.5899,97.59,97.939,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.1731,94.5778,97.5898,0,4,4,80,1,95,35,NA,NA,NA,NA,NA,1,5,"likert"
