"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",54.3315,57.3006,57.3021,57.5649,57.565,57.62,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",57.6221,60.626,60.6262,60.6263,60.6263,61.0047,0,1,1,4,1,30,40,TRUE,5,1.3052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",61.0057,63.9986,63.9988,63.9988,63.9989,64.3316,0,2,2,1,1,100,50,TRUE,5,0.7926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",64.3327,67.3373,67.3374,67.3374,67.3375,67.6951,0,3,3,0,1,7,30,TRUE,5,1.3079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",67.6965,70.6854,70.6856,70.6856,70.6856,71.0282,0,4,4,2,1,14,45,TRUE,5,1.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,93.8902,93.8903,93.8905,94.2351,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.1831,90.9263,93.8898,0,0,0,76,1,90,46,NA,NA,NA,NA,NA,1,1,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,97.2486,97.2486,97.2486,97.6024,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0588,94.2367,97.2484,0,1,1,104,1,200,35,NA,NA,NA,NA,NA,1,2,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,100.6013,100.6013,100.6013,100.9416,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.9465,97.6037,100.6012,0,2,2,45,1,30,30,NA,NA,NA,NA,NA,1,3,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,103.945,103.945,103.945,104.2914,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7758,100.9428,103.9449,0,3,3,106,1,200,47,NA,NA,NA,NA,NA,1,4,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,107.2871,107.2872,107.2872,107.6301,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.8563,104.2929,107.2869,0,4,4,48,1,40,27,NA,NA,NA,NA,NA,1,5,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,110.6427,110.6427,110.6427,110.9824,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.4941,107.6315,110.6424,0,5,5,14,1,12,28,NA,NA,NA,NA,NA,1,6,"likert"
"BCE4703DBF7B42AF99C9BA9CC4800C66",1,"0198f77d-4a41-7efa-a5b1-66f95662a0cc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.00.249",NA,NA,114.0036,114.0037,114.0037,114.3435,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.3782,110.9838,114.0034,0,6,6,43,1,30,27,NA,NA,NA,NA,NA,1,7,"likert"
