"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",238.458,241.4349,241.4354,241.6647,241.6648,241.7696,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",241.771,244.7653,244.7655,244.7655,244.7656,245.1362,0,1,1,1,1,100,50,TRUE,2,1.8627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",245.1375,248.1349,248.1355,248.1358,248.1358,248.4697,0,2,2,4,1,30,40,TRUE,2,1.8939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",248.4709,251.4675,251.468,251.468,251.4681,251.8352,0,3,3,0,1,7,30,TRUE,1,2.6756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",251.8363,254.8315,254.8316,254.8316,254.8317,255.1672,0,4,4,3,1,3,27,TRUE,1,2.1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,320.0232,320.0236,320.0237,320.3558,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9986,317.0376,320.0229,0,0,0,91,1,150,33,NA,NA,NA,NA,NA,1,1,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,323.3581,323.3581,323.3581,323.723,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9946,320.3571,323.3581,0,1,1,76,1,90,46,NA,NA,NA,NA,NA,1,2,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,326.7229,326.7229,326.723,327.0585,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9433,323.7239,326.7225,0,2,2,30,1,25,27,NA,NA,NA,NA,NA,1,3,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,330.0572,330.0573,330.0573,330.4251,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1298,327.0594,330.0571,0,3,3,24,1,21,26,NA,NA,NA,NA,NA,1,4,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,333.4247,333.4248,333.4248,333.7558,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4961,330.4262,333.4242,0,4,4,28,1,21,32,NA,NA,NA,NA,NA,1,5,"likert"
"C4BC1E1B8EDD46EBB9A1D01528042AF8",1,"01990a98-f8ad-72e4-a860-763b59495355","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.23.907",NA,NA,336.7607,336.7608,336.7608,337.1258,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2446,333.757,336.7601,0,5,5,106,1,200,47,NA,NA,NA,NA,NA,1,6,"likert"
