"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",62.1764,65.1397,65.1403,65.3905,65.3909,65.4905,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",65.4953,68.4898,68.4904,68.4907,68.4909,68.8395,0,1,1,4,1,30,40,TRUE,1,1.6979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",68.8438,71.8388,71.839,71.8392,71.8393,72.1891,0,2,2,0,1,7,30,TRUE,3,1.9048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",72.1921,75.1886,75.1887,75.1887,75.1889,75.5388,0,3,3,1,1,100,50,TRUE,5,1.7093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",75.5423,78.5388,78.5391,78.5391,78.5393,78.8886,0,4,4,2,1,14,45,TRUE,5,2.7896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,159.5835,159.5841,159.5846,159.9325,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.6245,156.6429,159.5829,0,0,0,89,1,100,54,NA,NA,NA,NA,NA,1,1,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,162.9325,163.1812,163.1812,163.2815,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,159.9373,162.9323,0,1,1,96,1,180,27,NA,NA,NA,NA,NA,1,2,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,166.2822,166.2825,166.2826,166.6316,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1526,163.2835,166.2819,0,2,2,3,1,7,30,NA,NA,NA,NA,NA,1,3,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,169.6319,169.6321,169.6322,169.9815,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9563,166.6346,169.6316,0,3,3,106,1,200,47,NA,NA,NA,NA,NA,1,4,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,172.9815,172.9816,172.9817,173.3314,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.4367,169.9859,172.9813,0,4,4,78,1,95,31,NA,NA,NA,NA,NA,1,5,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,176.3312,176.3313,176.3313,176.6808,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.0351,173.3347,176.331,0,5,5,30,1,25,27,NA,NA,NA,NA,NA,1,6,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,179.6812,179.6812,179.6814,180.0307,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0771,176.6838,179.681,0,6,6,23,1,14,39,NA,NA,NA,NA,NA,1,7,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,183.0351,183.0355,183.0357,183.3851,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9244,180.0339,183.0348,0,7,7,31,1,25,29,NA,NA,NA,NA,NA,1,8,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,186.3851,186.3854,186.3854,186.7353,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.4987,183.3874,186.3849,0,8,8,98,1,180,35,NA,NA,NA,NA,NA,1,9,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,189.7353,189.7356,189.7357,190.0844,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.8009,186.7374,189.735,0,9,9,90,1,150,31,NA,NA,NA,NA,NA,1,10,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,193.0847,193.0851,193.0851,193.4342,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2335,190.0868,193.0846,0,10,10,18,1,14,25,NA,NA,NA,NA,NA,1,11,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,196.4347,196.4349,196.435,196.7845,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.5332,193.4367,196.4344,0,11,11,74,1,90,33,NA,NA,NA,NA,NA,1,12,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,199.7845,199.7846,199.7847,200.1341,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6658,196.7871,199.7843,0,12,12,28,1,21,32,NA,NA,NA,NA,NA,1,13,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,203.1341,203.1343,203.1344,203.4826,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1151,200.1373,203.1339,0,13,13,94,1,150,47,NA,NA,NA,NA,NA,1,14,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,206.4841,206.4843,206.4844,206.8334,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.8194,203.4841,206.4839,0,14,14,77,1,90,54,NA,NA,NA,NA,NA,1,15,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,209.8338,209.8339,209.8341,210.1831,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.8842,206.8356,209.8335,0,15,15,65,1,50,54,NA,NA,NA,NA,NA,1,16,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,213.1837,213.1837,213.1838,213.533,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5819,210.1864,213.1834,0,16,16,42,1,30,26,NA,NA,NA,NA,NA,1,17,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,216.5333,216.5335,216.5335,216.8834,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.115,213.5355,216.5331,0,17,17,105,1,200,39,NA,NA,NA,NA,NA,1,18,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,219.883,219.8831,219.8833,220.2327,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.4318,216.8857,219.8828,0,18,18,5,1,7,35,NA,NA,NA,NA,NA,1,19,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,223.2311,223.2311,223.2311,223.581,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.9988,220.2354,223.231,0,19,19,34,1,25,35,NA,NA,NA,NA,NA,1,20,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,226.5826,226.5827,226.5829,226.9315,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1856,223.5822,226.5824,0,20,20,66,1,60,29,NA,NA,NA,NA,NA,1,21,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,229.9322,229.9324,229.9324,230.2819,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.6333,226.934,229.9319,0,21,21,41,1,28,46,NA,NA,NA,NA,NA,1,22,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,233.2819,233.2819,233.282,233.6317,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5832,230.2842,233.2816,0,22,22,81,1,95,40,NA,NA,NA,NA,NA,1,23,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,236.6321,236.6322,236.6323,236.9814,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3311,233.6344,236.6319,0,23,23,103,1,200,28,NA,NA,NA,NA,NA,1,24,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,239.9813,239.9813,239.9815,240.3296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4179,236.9838,239.9811,0,24,24,51,1,40,40,NA,NA,NA,NA,NA,1,25,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,243.3311,243.3311,243.3311,243.6803,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.852,240.3305,243.3308,0,25,25,9,1,10,29,NA,NA,NA,NA,NA,1,26,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,246.6812,246.6812,246.6813,247.0303,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.051,243.6829,246.6809,0,26,26,53,1,40,54,NA,NA,NA,NA,NA,1,27,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,250.0305,250.0306,250.0306,250.3796,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.7988,247.0332,250.0303,0,27,27,73,1,90,30,NA,NA,NA,NA,NA,1,28,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,253.3801,253.3802,253.3802,253.7299,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.051,250.3817,253.3799,0,28,28,63,1,50,40,NA,NA,NA,NA,NA,1,29,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,256.7289,256.729,256.729,257.0791,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9178,253.7318,256.7288,0,29,29,35,1,25,46,NA,NA,NA,NA,NA,1,30,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,260.0799,260.08,260.08,260.4292,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.3847,257.0814,260.0797,0,30,30,70,1,60,47,NA,NA,NA,NA,NA,1,31,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,263.43,263.4301,263.4302,263.7782,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6176,260.4317,263.4297,0,31,31,22,1,14,35,NA,NA,NA,NA,NA,1,32,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,266.7799,266.78,266.78,267.1295,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6502,263.7795,266.7796,0,32,32,86,1,100,38,NA,NA,NA,NA,NA,1,33,"likert"
"C76FCB51E7934762B3B3ADF124E25A7A",1,"01990a98-493b-7445-ba9d-f89e421270d6","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.28.605",NA,NA,270.1291,270.1291,270.1293,270.4785,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7308,267.132,270.1288,0,33,33,20,1,14,28,NA,NA,NA,NA,NA,1,34,"likert"
