"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",45.109,48.064,48.065,48.314,48.314,48.413,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",48.419,51.425,51.425,51.425,51.425,51.763,0,1,1,0,1,7,30,TRUE,1,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",51.768,54.762,54.762,54.763,54.763,55.113,0,2,2,1,1,100,50,TRUE,1,1.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",55.117,58.113,58.113,58.114,58.114,58.466,0,3,3,2,1,14,45,TRUE,3,1.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",58.468,61.478,61.479,61.481,61.481,61.828,0,4,4,3,1,3,27,TRUE,4,1.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,101.708,101.708,101.708,102.056,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.067,98.759,101.707,0,0,0,11,1,10,32,NA,NA,NA,NA,NA,1,1,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,105.053,105.053,105.053,105.405,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.568,102.061,105.052,0,1,1,26,1,21,29,NA,NA,NA,NA,NA,1,2,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,108.407,108.407,108.407,108.755,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.321,105.41,108.407,0,2,2,27,1,21,30,NA,NA,NA,NA,NA,1,3,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,111.746,111.746,111.746,112.105,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.284,108.759,111.745,0,3,3,76,1,90,46,NA,NA,NA,NA,NA,1,4,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,115.105,115.105,115.105,115.454,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.743,112.111,115.104,0,4,4,96,1,180,27,NA,NA,NA,NA,NA,1,5,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,118.454,118.454,118.454,118.803,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.491,115.456,118.453,0,5,5,0,1,7,25,NA,NA,NA,NA,NA,1,6,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,121.803,121.803,121.803,122.153,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.798,118.806,121.803,0,6,6,12,1,12,25,NA,NA,NA,NA,NA,1,7,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,125.164,125.165,125.165,125.507,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.975,122.155,125.164,0,7,7,62,1,50,35,NA,NA,NA,NA,NA,1,8,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,128.488,128.488,128.488,128.859,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.715,125.522,128.487,0,8,8,24,1,21,26,NA,NA,NA,NA,NA,1,9,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,131.853,131.853,131.853,132.204,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.462,128.863,131.852,0,9,9,43,1,30,27,NA,NA,NA,NA,NA,1,10,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,135.203,135.203,135.203,135.551,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.622,132.206,135.202,0,10,10,95,1,150,54,NA,NA,NA,NA,NA,1,11,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,138.552,138.553,138.553,138.9,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.964,135.56,138.551,0,11,11,36,1,28,26,NA,NA,NA,NA,NA,1,12,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,141.901,141.901,141.901,142.251,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.853,138.902,141.901,0,12,12,74,1,90,33,NA,NA,NA,NA,NA,1,13,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,145.255,145.255,145.255,145.603,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.524,142.253,145.254,0,13,13,103,1,200,28,NA,NA,NA,NA,NA,1,14,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,148.601,148.601,148.601,148.95,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.668,145.605,148.601,0,14,14,41,1,28,46,NA,NA,NA,NA,NA,1,15,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,151.951,151.951,151.951,152.3,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.886,148.954,151.95,0,15,15,23,1,14,39,NA,NA,NA,NA,NA,1,16,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,155.301,155.301,155.301,155.65,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.881,152.303,155.3,0,16,16,46,1,30,32,NA,NA,NA,NA,NA,1,17,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,158.652,158.652,158.652,159,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.235,155.653,158.651,0,17,17,7,1,10,26,NA,NA,NA,NA,NA,1,18,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,161.998,161.999,161.999,162.348,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.329,159.015,161.998,0,18,18,71,1,60,54,NA,NA,NA,NA,NA,1,19,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,165.354,165.354,165.354,165.697,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.421,162.354,165.353,0,19,19,92,1,150,35,NA,NA,NA,NA,NA,1,20,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,168.701,168.702,168.702,169.047,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.623,165.702,168.701,0,20,20,2,1,7,28,NA,NA,NA,NA,NA,1,21,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,172.048,172.048,172.048,172.397,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.816,169.053,172.047,0,21,21,4,1,7,32,NA,NA,NA,NA,NA,1,22,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,175.397,175.397,175.397,175.747,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.514,172.399,175.397,0,22,22,90,1,150,31,NA,NA,NA,NA,NA,1,23,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,178.748,178.748,178.748,179.103,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.035,175.751,178.748,0,23,23,83,1,95,54,NA,NA,NA,NA,NA,1,24,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,182.096,182.096,182.096,182.446,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.117,179.108,182.096,0,24,24,22,1,14,35,NA,NA,NA,NA,NA,1,25,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,185.462,185.462,185.462,185.795,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.781,182.448,185.462,0,25,25,38,1,28,32,NA,NA,NA,NA,NA,1,26,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,188.811,188.811,188.811,189.161,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.336,185.798,188.811,0,26,26,8,1,10,27,NA,NA,NA,NA,NA,1,27,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,192.156,192.156,192.156,192.512,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.364,189.163,192.155,0,27,27,69,1,60,40,NA,NA,NA,NA,NA,1,28,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,195.512,195.512,195.512,195.86,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.854,192.528,195.512,0,28,28,59,1,45,46,NA,NA,NA,NA,NA,1,29,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,198.862,198.862,198.862,199.195,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.529,195.865,198.861,0,29,29,98,1,180,35,NA,NA,NA,NA,NA,1,30,"likert"
"CA38010E742E404DB30BC161531E10FF",1,"0198f77d-25e2-7392-939b-a2efe3470d7d","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h21.19.137",NA,NA,202.211,202.211,202.212,202.547,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.443,199.201,202.211,0,30,30,70,1,60,47,NA,NA,NA,NA,NA,1,31,"likert"
