"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",35.703,38.692,38.692,38.942,38.942,39.041,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",39.042,42.027,42.028,42.028,42.028,42.377,0,1,1,0,1,7,30,TRUE,2,1.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",42.378,45.38,45.38,45.38,45.38,45.73,0,2,2,1,1,100,50,TRUE,5,2.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",45.731,48.731,48.731,48.731,48.731,49.083,0,3,3,2,1,14,45,TRUE,2,1.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",49.083,52.084,52.084,52.084,52.084,52.434,0,4,4,3,1,3,27,TRUE,1,2.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",NA,NA,102.687,102.687,102.687,103.036,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.092,99.7,102.687,0,0,0,1,1,7,26,NA,NA,NA,NA,NA,1,1,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",NA,NA,106.04,106.04,106.04,106.373,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.634,103.038,106.04,0,1,1,62,1,50,35,NA,NA,NA,NA,NA,1,2,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",NA,NA,109.375,109.375,109.375,109.726,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.679,106.375,109.374,0,2,2,88,1,100,46,NA,NA,NA,NA,NA,1,3,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",NA,NA,112.727,112.727,112.727,113.077,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.391,109.727,112.727,0,3,3,40,1,28,39,NA,NA,NA,NA,NA,1,4,"likert"
"D1DB52035DA44D2299EF920A5BE63D37",1,"0198f77d-f496-7c8e-876d-5439001ccddc","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h21.50.492",NA,NA,116.08,116.08,116.081,116.43,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.609,113.078,116.08,0,4,4,91,1,150,33,NA,NA,NA,NA,NA,1,5,"likert"
