"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",21.2629,24.2463,24.2479,24.4982,24.4982,24.5955,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",24.5968,27.5989,27.5991,27.5993,27.5995,27.9471,0,1,1,4,1,30,40,TRUE,1,2.5936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",27.9482,30.9487,30.9489,30.9489,30.949,31.2956,0,2,2,0,1,7,30,TRUE,1,1.4692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",31.2978,34.2956,34.2958,34.5481,34.5481,34.6486,0,3,3,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",34.6499,37.6453,37.6454,37.6456,37.6457,37.9959,0,4,4,1,1,100,50,TRUE,1,1.8011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",NA,NA,65.0966,65.0967,65.0968,65.4494,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.1647,62.1093,65.096,0,0,0,10,1,10,30,NA,NA,NA,NA,NA,1,1,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",NA,NA,68.4493,68.4493,68.4493,68.7954,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1551,65.45,68.4491,0,1,1,92,1,150,35,NA,NA,NA,NA,NA,1,2,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",NA,NA,71.7951,71.7951,71.7951,72.1498,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.993,68.797,71.795,0,2,2,70,1,60,47,NA,NA,NA,NA,NA,1,3,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",NA,NA,75.1342,75.1342,75.1342,75.4859,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0871,72.1519,75.1341,0,3,3,80,1,95,35,NA,NA,NA,NA,NA,1,4,"likert"
"E0D18BBBCD6B4625A1281C4347DED50B",1,"01990a98-5398-7822-ade9-4b22bdf38d08","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.36.458",NA,NA,78.5005,78.5005,78.5005,78.8355,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.866,75.4877,78.5003,0,4,4,99,1,180,39,NA,NA,NA,NA,NA,1,5,"likert"
