"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",53.7492,56.6809,56.6813,56.9551,56.9552,57.0397,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",57.0404,60.0347,60.0348,60.3025,60.3025,60.3887,0,1,1,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",60.3895,63.3889,63.389,63.6414,63.6414,63.8001,0,2,2,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",63.8006,66.7221,66.7221,66.9951,66.9951,67.0842,0,3,3,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",67.0848,70.1388,70.1389,70.3876,70.3876,70.4728,0,4,4,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,114.9402,115.2122,115.2122,115.3082,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,111.9812,114.94,0,0,0,48,1,40,27,NA,NA,NA,NA,NA,1,1,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,118.3141,118.5829,118.583,118.668,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,115.3093,118.314,0,1,1,38,1,28,32,NA,NA,NA,NA,NA,1,2,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,121.6597,121.6597,121.6597,122.0163,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0709,118.6684,121.6596,0,2,2,57,1,45,35,NA,NA,NA,NA,NA,1,3,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,125.0263,125.0264,125.0264,125.3738,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.0698,122.0168,125.0263,0,3,3,50,1,40,35,NA,NA,NA,NA,NA,1,4,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,128.3007,128.3007,128.3007,128.6616,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.7935,125.3744,128.3007,0,4,4,29,1,21,38,NA,NA,NA,NA,NA,1,5,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,131.6568,131.6568,131.6568,132.0159,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.7768,128.6622,131.6568,0,5,5,4,1,7,32,NA,NA,NA,NA,NA,1,6,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,135.0078,135.0078,135.0079,135.3766,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0686,132.0166,135.0077,0,6,6,70,1,60,47,NA,NA,NA,NA,NA,1,7,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,138.4148,138.4148,138.4148,138.7496,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.6943,135.3773,138.4147,0,7,7,76,1,90,46,NA,NA,NA,NA,NA,1,8,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,141.7156,141.7157,141.7157,142.0851,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4899,138.7501,141.7156,0,8,8,97,1,180,31,NA,NA,NA,NA,NA,1,9,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,145.1347,145.1347,145.1347,145.4757,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.5203,142.0855,145.1346,0,9,9,30,1,25,27,NA,NA,NA,NA,NA,1,10,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,148.4663,148.4663,148.4663,148.8074,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2764,145.4762,148.4663,0,10,10,56,1,45,31,NA,NA,NA,NA,NA,1,11,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,151.8398,151.8398,151.8398,152.1106,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.0043,148.8078,151.8398,0,11,11,55,1,45,29,NA,NA,NA,NA,NA,1,12,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,155.1373,155.1373,155.1373,155.4868,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.3169,152.111,155.1373,0,12,12,40,1,28,39,NA,NA,NA,NA,NA,1,13,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,158.4731,158.7419,158.7419,158.8252,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,155.4873,158.4731,0,13,13,81,1,95,40,NA,NA,NA,NA,NA,1,14,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,161.8465,162.1125,162.1125,162.1939,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,158.8257,161.8464,0,14,14,27,1,21,30,NA,NA,NA,NA,NA,1,15,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,165.201,165.201,165.201,165.5592,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.5165,162.1942,165.201,0,15,15,93,1,150,40,NA,NA,NA,NA,NA,1,16,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,168.5365,168.5365,168.5365,168.8823,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2207,165.5597,168.5365,0,16,16,19,1,14,26,NA,NA,NA,NA,NA,1,17,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,171.8609,171.8609,171.8609,172.2821,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.2132,168.8826,171.8608,0,17,17,33,1,25,33,NA,NA,NA,NA,NA,1,18,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,175.2873,175.2874,175.2874,175.6293,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.4943,172.2826,175.2872,0,18,18,88,1,100,46,NA,NA,NA,NA,NA,1,19,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,178.6165,178.6165,178.6165,178.9764,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.7899,175.6298,178.6165,0,19,19,89,1,100,54,NA,NA,NA,NA,NA,1,20,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,181.9504,181.9504,181.9504,182.3014,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7745,178.9768,181.9503,0,20,20,75,1,90,40,NA,NA,NA,NA,NA,1,21,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,185.3384,185.3385,185.3385,185.665,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2201,182.302,185.3384,0,21,21,100,1,180,46,NA,NA,NA,NA,NA,1,22,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,188.6766,188.6766,188.6767,189.033,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.2588,185.6654,188.6766,0,22,22,79,1,95,33,NA,NA,NA,NA,NA,1,23,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,192.0073,192.0073,192.0073,192.3318,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8993,189.0335,192.0072,0,23,23,68,1,60,35,NA,NA,NA,NA,NA,1,24,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,195.3635,195.3635,195.3635,195.732,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.4618,192.3322,195.3634,0,24,24,64,1,50,46,NA,NA,NA,NA,NA,1,25,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,198.6668,198.6668,198.6668,199.0104,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.427,195.7324,198.6667,0,25,25,47,1,30,38,NA,NA,NA,NA,NA,1,26,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,201.9972,201.9972,201.9972,202.4375,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0737,199.0108,201.9972,0,26,26,20,1,14,28,NA,NA,NA,NA,NA,1,27,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,205.432,205.4321,205.4321,205.775,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.5067,202.438,205.432,0,27,27,45,1,30,30,NA,NA,NA,NA,NA,1,28,"likert"
"F79D2427D52B4362B92A0AEF2995F26C",1,"01990aad-218e-7259-8ef7-024862d76709","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h46.20.886",NA,NA,208.7584,208.7584,208.7584,209.1016,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.1544,205.7755,208.7584,0,28,28,22,1,14,35,NA,NA,NA,NA,NA,1,29,"likert"
