"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",46.117,48.995,48.996,49.323,49.323,49.496,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",49.497,52.364,52.365,52.365,52.365,52.708,0,1,1,0,1,7,30,TRUE,1,1.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",52.71,55.717,55.718,55.718,55.718,56.202,0,2,2,3,1,3,27,TRUE,1,2.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",56.203,59.085,59.086,59.086,59.086,59.46,0,3,3,4,1,30,40,TRUE,1,1.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",59.462,62.523,62.524,62.524,62.524,62.86,0,4,4,2,1,14,45,TRUE,1,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,255.887,255.887,255.887,256.271,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.037,252.98,255.887,0,0,0,28,1,21,32,NA,NA,NA,NA,NA,1,1,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,259.276,259.276,259.276,259.664,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.374,256.273,259.275,0,1,1,72,1,90,26,NA,NA,NA,NA,NA,1,2,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,262.593,262.593,262.593,262.965,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.747,259.665,262.592,0,2,2,0,1,7,25,NA,NA,NA,NA,NA,1,3,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,266.022,266.023,266.023,266.347,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.743,262.973,266.022,0,3,3,84,1,100,26,NA,NA,NA,NA,NA,1,4,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,269.23,269.23,269.23,269.752,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.937,266.348,269.229,0,4,4,6,1,10,25,NA,NA,NA,NA,NA,1,5,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,272.605,272.606,272.606,273.127,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.913,269.76,272.605,0,5,5,80,1,95,35,NA,NA,NA,NA,NA,1,6,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,276.07,276.07,276.07,276.408,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.85,273.129,276.07,0,6,6,99,1,180,39,NA,NA,NA,NA,NA,1,7,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,279.393,279.393,279.393,279.712,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.148,276.418,279.393,0,7,7,50,1,40,35,NA,NA,NA,NA,NA,1,8,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,282.776,282.776,282.776,283.129,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.923,279.713,282.775,0,8,8,25,1,21,27,NA,NA,NA,NA,NA,1,9,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,285.986,285.986,285.986,286.492,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.007,283.138,285.986,0,9,9,34,1,25,35,NA,NA,NA,NA,NA,1,10,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,289.332,289.332,289.332,289.73,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.788,286.494,289.331,0,10,10,86,1,100,38,NA,NA,NA,NA,NA,1,11,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,292.739,293.059,293.059,293.059,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,289.739,292.739,0,11,11,57,1,45,35,NA,NA,NA,NA,NA,1,12,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,296.155,296.155,296.155,296.502,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.108,293.061,296.155,0,12,12,96,1,180,27,NA,NA,NA,NA,NA,1,13,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,299.446,299.633,299.633,299.797,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,296.51,299.446,0,13,13,15,1,12,31,NA,NA,NA,NA,NA,1,14,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,302.862,302.862,302.862,303.285,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.223,299.799,302.862,0,14,14,31,1,25,29,NA,NA,NA,NA,NA,1,15,"likert"
"FD55FA578CB840E7AB8035325CE2CF4F",1,"01990a98-703b-7003-880d-0def9b35ec96","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h24.26.845",NA,NA,306.108,306.109,306.109,306.484,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.185,303.294,306.108,0,15,15,102,1,200,26,NA,NA,NA,NA,NA,1,16,"likert"
