"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",25.4716,28.4271,28.4282,28.4441,28.4443,28.7773,0,0,0,2,1,14,45,TRUE,1,0.6517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",28.7823,31.7778,31.778,31.7781,31.7782,32.1277,0,1,1,4,1,30,40,TRUE,5,0.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",32.1314,35.1282,35.1286,35.1287,35.1287,35.4784,0,2,2,3,1,3,27,TRUE,1,0.7269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",35.4806,38.4789,38.4792,38.4793,38.4794,38.8292,0,3,3,0,1,7,30,TRUE,5,0.9338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",38.8322,41.8297,41.8298,41.83,41.83,42.1796,0,4,4,1,1,100,50,TRUE,5,1.0743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",NA,NA,63.3681,63.3682,63.3682,63.7177,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4434,60.3909,63.3679,0,0,0,72,1,90,26,NA,NA,NA,NA,NA,1,1,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",NA,NA,66.7185,66.7185,66.7186,67.0682,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6984,63.72,66.7183,0,1,1,30,1,25,27,NA,NA,NA,NA,NA,1,2,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",NA,NA,70.0691,70.0692,70.0693,70.419,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8112,67.072,70.069,0,2,2,14,1,12,28,NA,NA,NA,NA,NA,1,3,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",NA,NA,73.4199,73.4201,73.4202,73.7696,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.8624,70.4205,73.4197,0,3,3,65,1,50,54,NA,NA,NA,NA,NA,1,4,"likert"
"FFCFFBFB91904311B5C239A9433C2BAB",1,"01990a98-bfa7-7abd-99e2-14b68b195447","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h44.25.600",NA,NA,76.7705,76.7706,76.7706,77.1204,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8966,73.7722,76.7703,0,4,4,48,1,40,27,NA,NA,NA,NA,NA,1,5,"likert"
