"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",31.4237,34.402,34.4039,34.4057,34.4058,34.7532,0,0,0,2,1,14,45,TRUE,1,2.5214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",34.7563,37.7532,37.7534,38.0025,38.0026,38.0965,0,1,1,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",38.098,41.1017,41.1023,41.1024,41.1025,41.4513,0,2,2,1,1,100,50,TRUE,3,0.6227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",41.4525,44.4515,44.4518,44.452,44.452,44.8014,0,3,3,3,1,3,27,TRUE,3,0.8244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",44.8035,47.803,47.8037,47.8038,47.8039,48.1517,0,4,4,4,1,30,40,TRUE,2,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,82.3774,82.6269,82.6269,82.7293,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,79.4187,82.3768,0,0,0,5,1,7,35,NA,NA,NA,NA,NA,1,1,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,85.7281,85.7283,85.7283,86.0761,NA,NA,NA,NA,NA,NA,NA,TRUE,3,0.655,82.7315,85.7276,0,1,1,89,1,100,54,NA,NA,NA,NA,NA,1,2,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,89.0772,89.0775,89.0776,89.426,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5559,86.0792,89.0771,0,2,2,66,1,60,29,NA,NA,NA,NA,NA,1,3,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,92.4265,92.4266,92.4266,92.776,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.5099,89.4279,92.426,0,3,3,30,1,25,27,NA,NA,NA,NA,NA,1,4,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,95.7772,95.7772,95.7772,96.1259,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.3499,92.778,95.7765,0,4,4,64,1,50,46,NA,NA,NA,NA,NA,1,5,"likert"
"21184C77E3954136BCA4B212D0E4319E",1,"01990a98-5f08-7b48-8e5e-0c12f4b367a7","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_08h53.49.793",NA,NA,99.1266,99.1266,99.1267,99.4759,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.3688,96.1277,99.1259,0,5,5,85,1,100,31,NA,NA,NA,NA,NA,1,6,"likert"
